"","days","confirmed.case_mean","confirmed.case_CI95","new.deaths_mean","new.deaths_CI95","ICU_mean","ICU_CI95","newICU_mean","newICU_CI95","ICUover_mean","ICUover_CI95","Ventilator_mean","Ventilator_CI95","smoothed.confirmed_mean","smoothed.confirmed_CI95","smoothed.deaths_mean","smoothed.deaths_CI95","confirmed.case.rate_mean","confirmed.case.rate_CI95","new.deaths.rate_mean","new.deaths.rate_CI95","ICU.rate_mean","ICU.rate_CI95","newICU.rate_mean","newICU.rate_CI95","ICUover.rate_mean","ICUover.rate_CI95","Ventilator.rate_mean","Ventilator.rate_CI95","policy.name","start.stop"
"36",4,258.38,199.90612414591,5.51020408163265,4.16245216188727,49.12685432294,23.2867987028213,10.97749221928,5.7874819509102,0,0,46.03847750214,21.8217330276185,215.704702170778,127.587390309979,3.90892564196276,1.71935951043902,30.0659087083747,23.9988499877269,0.54658830748095,0.233308417997376,7.39208422972,4.60053543919293,1.69070828202,1.31752717891396,0,0,6.96692819314,4.43125359668224,"Entertainment","start"
"37",5,270.58,206.641912869195,4.40816326530612,2.44209391028819,57.8709599463,28.3756475550179,12.96680784846,7.33829562858787,0,0,54.28774657556,26.7879459963401,246.948710915525,151.293590200463,4.5783315269867,1.96062476407939,31.244008744747,24.8018639718715,0.669405885023939,0.348804205136464,8.74410562336,5.93584883060205,1.98931562918,1.66013089562347,0,0,8.24926907342,5.7192261248061,"Entertainment","start"
"38",6,180.3,54.6201634563647,5.85714285714286,2.25186855744291,68.17528475202,35.1110945872495,15.28219666256,9.28589178094455,0,0,64.01317305944,33.3453404242193,277.561409234078,173.048310936408,5.5063526277821,2.42260106786531,30.6126983185528,22.7732871050429,0.9280211007954,0.633794428275218,10.30432480572,7.56161872886153,2.3153888141,2.0428630806297,0,0,9.72542648388,7.27919787251193,"Entertainment","start"
"39",7,318.78,228.583530494741,6.24489795918367,2.63237231409237,80.23655108088,43.8121986848179,17.939778018,11.6537740583318,0,0,75.39641420618,41.7822877723421,307.941366982259,192.393871706991,6.61804118841023,3.10484020428319,30.3799577481813,20.7648616668541,1.11168856062812,0.826097764268738,12.06126632886,9.46746953462662,2.65758135544,2.44995260381744,0,0,11.38324114674,9.09805815616089,"Entertainment","start"
"40",8,360.54,197.673878058179,8.36734693877551,4.27535183737354,94.25914941592,54.7393540247891,20.9751478182,14.4412584025891,0,0,88.62506535708,52.328406366611,339.369070628658,211.294373876485,7.82011446670391,3.91641386206262,31.4277036463991,20.8408041893202,1.20207327829369,0.905780470529812,14.02259833504,11.6156327293335,3.0353698002,2.85995271667093,0,0,13.2286511509,11.1353741753471,"Entertainment","start"
"41",9,374.54,286.511478448177,8.16326530612245,4.8465754232585,110.33313468464,68.0849176712029,24.30570183,17.6354697024692,0,0,103.77155737616,65.1465092303192,371.147521310125,230.224351523897,9.198572204915,4.96648672633012,31.7784506814671,21.0153059689917,1.37845773821108,1.12734855080529,16.07398526872,13.9501740301018,3.3305540118,3.25559208448138,0,0,15.14649201908,13.3332694184278,"Entertainment","start"
"42",10,429.06,264.144362721902,10.7959183673469,5.54428871302112,128.50853977288,83.9377058603083,27.92071340652,21.1863453586857,0,0,120.86764422804,80.2980574392342,402.912072504709,249.441572286746,10.8796472424717,6.39203920448151,31.7645511945836,21.210164543112,1.68107503755669,1.50083514481908,18.17540508824,16.3788894145936,3.61501157652,3.60479058163161,0,0,17.09608685188,15.5991837863768,"Entertainment","start"
"43",11,427.28,242.041711309105,13.0408163265306,7.98904575027581,148.75436626608,102.267909774167,31.76854556174,25.0179817899469,0,0,139.86198680228,97.7288659970549,436.817686989625,270.532150876347,12.9923698483709,8.3639309780177,33.9056144849164,23.2539944112835,2.11272260589918,2.04432099269145,20.2458264932,18.7878675664543,3.84783215522,3.87986304671675,0,0,18.99434257424,17.8205231813856,"Entertainment","start"
"44",12,457.78,349.777946859776,15.6875,13.256689469929,170.90700678652,122.918034882557,35.73809836646,29.0311811436589,0,0,160.57930683362,117.25989140465,473.080134309194,293.542473219117,15.4552979836581,10.7860100948026,36.2624473195682,25.3550355391189,2.46292813528725,2.478099868981,22.15264052044,21.0494688933115,3.96955280472,4.0561974575345,0,0,20.71732003134,19.871995567291,"Entertainment","start"
"45",13,466.4,272.185976538102,16.9183673469388,10.6914117558596,194.69969231022,145.592477330208,39.73685635872,33.1007357001626,0,0,182.74241444468,138.579431946633,508.163335218376,316.153846878794,18.092796108106,13.3967733338858,35.0832009091819,24.6167319440004,2.63749812444784,2.6502936970598,23.7926855237,23.0254821098079,3.99875799226,4.10864921300328,0,0,22.16310761106,21.6204552283937,"Entertainment","start"
