"","state.name","date","total.pop","confirmed.case","new.deaths","ICU","newICU","ICUover","Ventilator","smoothed.confirmed","smoothed.deaths","confirmed.case.rate","new.deaths.rate","ICU.rate","newICU.rate","ICUover.rate","Ventilator.rate"
"3137","Idaho",2020-04-20,1735118.899,4,1,18.18933213,1.807006949,0,16.20297394,36.9608070177732,1.99596456669361,-0.958243475486249,-0.124569488966983,-1.0367274,-0.175101602,0,-1.00785556
"3138","Idaho",2020-04-21,1735118.899,64,3,17.11508107,1.648336762,0,15.17653831,35.7042047684907,1.8586911206576,-1.25660224928253,-0.137273446036012,-1.07425106,-0.158670187,0,-1.02643563
"3139","Idaho",2020-04-22,1735118.899,30,3,16.03416866,1.507861401,0,14.16038738,34.3315260293966,1.72661724930766,-1.37267873909401,-0.132073871349939,-1.08091241,-0.140475361,0,-1.01615093
"3140","Idaho",2020-04-23,1735118.899,70,3,14.97218134,1.386193087,0,13.1775544,33.025053084476,1.6176464843989,-1.30647294492066,-0.108970764908764,-1.06198732,-0.121668314,0,-0.98283298
"3141","Idaho",2020-04-24,1735118.899,34,0,13.949657,1.282974033,0,12.24559465,31.7868158208036,1.55438739394267,-1.23823726367235,-0.0632590904562249,-1.02252434,-0.103219054,0,-0.931959750000001
"3142","Idaho",2020-04-25,1735118.899,17,2,12.98270396,1.197210153,0,11.37734722,30.543626085565,1.52404192963014,-1.24318973523868,-0.0303454643125365,-0.96695304,-0.0857638799999998,0,-0.868247429999998
"3143","Idaho",2020-04-26,1735118.899,10,0,12.08355684,1.127449513,0,10.58165055,29.3649391029103,1.49140369873607,-1.17868698265463,-0.0326382308940696,-0.89914712,-0.0697606400000002,0,-0.79569667
"3144","Idaho",2020-04-27,1735118.899,20,2,11.26097005,1.071944938,0,9.863922319,28.3202100969901,1.42126630853524,-1.0447290059202,-0.0701373902008249,-0.822586790000001,-0.0555045750000001,0,-0.717728231000001
"3145","Idaho",2020-04-28,1735118.899,35,2,10.52058865,1.028871414,0,9.226701837,27.1819088483381,1.29597543495269,-1.13830124865203,-0.125290873582549,-0.740381399999999,-0.043073524,0,-0.637220482
"3146","Idaho",2020-04-29,1735118.899,32,0,9.865187702,0.996456951,0,8.670059451,25.8615320409505,1.14219403801719,-1.32037680738756,-0.153781396935504,-0.655400948,-0.0324144629999999,0,-0.556642386
"3147","Idaho",2020-04-30,1735118.899,31,3,9.29498786,0.973080244,0,8.192045239,24.6370752541716,0.991191651159116,-1.22445678677891,-0.151002386858073,-0.570199841999999,-0.0233767069999999,0,-0.478014212
"3148","Idaho",2020-05-01,1735118.899,20,0,8.8079036,0.957289534,0,7.789012602,23.7865340673455,0.874237807808859,-0.850541186826089,-0.116953843350257,-0.487084260000001,-0.01579071,0,-0.403032637000001
"3149","Idaho",2020-05-02,1735118.899,26,1,8.399899923,0.947753976,0,7.455973747,23.4390443120618,0.776122138044361,-0.34748975528375,-0.0981156697644978,-0.408003677,-0.00953555800000006,0,-0.333038855
"3150","Idaho",2020-05-03,1735118.899,NA,NA,8.065381689,0.943193466,0,7.186924734,23.4107215209151,0.672410801545971,-0.0283227911466497,-0.10371133649839,-0.334518233999999,-0.00456051000000002,0,-0.269049013
"3151","Idaho",2020-05-04,1735118.899,45,0,7.797532349,0.94233888,0,6.975086113,23.5100308247576,0.580538126147682,0.0993093038425066,-0.0918726753982894,-0.267849340000001,-0.000854585999999991,0,-0.211838621
"3152","Idaho",2020-05-05,1735118.899,21,1,7.588575865,0.943911569,0,6.813060043,23.5454373544414,0.517938439683486,0.0354065296837085,-0.0625996864641963,-0.208956484,0.00157268899999996,0,-0.16202607
"3153","Idaho",2020-05-06,1735118.899,31,1,7.429947269,0.946626207,0,6.692908841,23.6189789969918,0.498216284305028,0.0735416425504027,-0.0197221553784581,-0.158628596,0.00271463800000005,0,-0.120151202
"3154","Idaho",2020-05-07,1735118.899,20,1,7.312474576,0.949230426,0,6.606258945,23.8848194396624,0.511856226971348,0.265840442670605,0.0136399426663207,-0.117472693000001,0.00260421899999996,0,-0.0866498959999999
"3155","Idaho",2020-05-08,1735118.899,27,0,7.226656824,0.950584458,0,6.544515717,24.2296125136473,0.541612632727533,0.344793073984899,0.0297564057561844,-0.0858177519999996,0.00135403200000006,0,-0.0617432280000001
"3156","Idaho",2020-05-09,1735118.899,25,0,7.162971688,0.94966368,0,6.49912139,24.5400120501405,0.570239866618666,0.310399536493271,0.0286272338911333,-0.0636851360000001,-0.000920778000000011,0,-0.0453943270000003
"3157","Idaho",2020-05-10,1735118.899,NA,NA,7.112215351,0.945589286,0,6.46185075,24.6640530070429,0.612171445077942,0.124040956902384,0.0419315784592763,-0.0507563370000002,-0.00407439399999998,0,-0.03727064
"3158","Idaho",2020-05-11,1735118.899,30,2,7.065831834,0.937684692,0,6.425108723,24.6429924996465,0.678886335866498,-0.0210605073963741,0.0667148907885555,-0.0463835169999998,-0.00790459399999999,0,-0.0367420269999998
"3159","Idaho",2020-05-12,1735118.899,33,0,7.016178009,0.925465381,0,6.382171419,24.6533175952326,0.748707081021331,0.0103250955860581,0.0698207451548329,-0.049653825,-0.0122193110000001,0,-0.0429373040000005
"3160","Idaho",2020-05-13,1735118.899,31,0,6.956700503,0.908631431,0,6.327346084,24.8715153610823,0.79995622257944,0.218197765849677,0.0512491415581089,-0.0594775059999995,-0.01683395,0,-0.0548253349999994
"3161","Idaho",2020-05-14,1735118.899,27,3,6.882034971,0.887107094,0,6.256060519,25.5346996040898,0.847153059948478,0.663184243007564,0.0471968373690386,-0.074665532,-0.021524337,0,-0.0712855650000002
"3162","Idaho",2020-05-15,1735118.899,38,1,6.78813687,0.861093998,0,6.164991016,26.5353645505552,0.905704755192646,1.0006649464654,0.0585516952441675,-0.0938981010000006,-0.026013096,0,-0.0910695029999999
"3163","Idaho",2020-05-16,1735118.899,30,0,6.6723733,0.831067141,0,6.052156281,27.5330678968681,0.955265644333758,0.997703346312903,0.0495608891411121,-0.115763569999999,-0.030026857,0,-0.112834735
"3164","Idaho",2020-05-17,1735118.899,NA,NA,6.533535693,0.797727577,0,5.916929115,28.1873673394182,0.97549006339363,0.654299442550091,0.0202244190598725,-0.138837607,-0.033339564,0,-0.135227166
"3165","Idaho",2020-05-18,1735118.899,36,1,6.371852434,0.761974632,0,5.760039812,28.2822724177854,0.95563112686453,0.0949050783671801,-0.0198589365290999,-0.161683259,-0.0357529449999999,0,-0.156889303000001
"3166","Idaho",2020-05-19,1735118.899,21,3,6.188959796,0.724830507,0,5.583532449,28.0580476122543,0.909724966305165,-0.224224805531154,-0.0459061605593652,-0.182892638,-0.0371441250000001,0,-0.176507363
"3167","Idaho",2020-05-20,1735118.899,30,0,5.987775778,0.687364871,0,5.390625317,27.8586330302714,0.854600443337011,-0.199414581982815,-0.0551245229681544,-0.201184018,-0.037465636,0,-0.192907132
"3168","Idaho",2020-05-21,1735118.899,28,0,5.772215136,0.650591064,0,5.185415075,28.0279687792836,0.807086419581543,0.169335749012198,-0.0475140237554675,-0.215560642,-0.036773807,0,-0.205210242
"3169","Idaho",2020-05-22,1735118.899,61,2,5.546826944,0.615393745,0,4.972509737,28.6116388962069,0.763865033498507,0.583670116923248,-0.0432213860830358,-0.225388192,-0.035197319,0,-0.212905338
"3170","Idaho",2020-05-23,1735118.899,31,0,5.31643938,0.582493286,0,4.756675891,29.3657964835972,0.71311282236156,0.75415758739031,-0.0507522111369475,-0.230387564,-0.0329004589999999,0,-0.215833846
"3171","Idaho",2020-05-24,1735118.899,NA,NA,5.085825588,0.552445219,0,4.542517997,30.2002352473612,0.658900246013045,0.834438763764048,-0.0542125763485153,-0.230613792000001,-0.0300480670000001,0,-0.214157894
"3172","Idaho",2020-05-25,1735118.899,NA,NA,4.859464494,0.525659146,0,4.334255821,31.0247488934057,0.605297764295305,0.824513646044434,-0.0536024817177392,-0.226361094,-0.026786073,0,-0.208262176
"3173","Idaho",2020-05-26,1735118.899,73,2,4.641370845,0.502410909,0,4.135573547,31.9228090964123,0.548346324940169,0.898060203006583,-0.0569514393551365,-0.218093649,-0.023248237,0,-0.198682274
"3174","Idaho",2020-05-27,1735118.899,32,1,4.434998165,0.482831203,0,3.949542681,32.9863956884035,0.485662573147118,1.06358659199124,-0.0626837517930508,-0.20637268,-0.019579706,0,-0.186030866
"3175","Idaho",2020-05-28,1735118.899,38,0,4.243213124,0.46692108,0,3.778613714,34.1380646112972,0.423680514959982,1.15166892289369,-0.0619820581871366,-0.191785040999999,-0.015910123,0,-0.170928967
"3176","Idaho",2020-05-29,1735118.899,34,0,4.06831822,0.454577051,0,3.624654254,35.3003718070111,0.368834156422588,1.16230719571394,-0.054846358537394,-0.174894904,-0.012344029,0,-0.15395946
